match_id;team;minute;value
14083303;Villarreal;67.0;25
14083303;Villarreal;68.0;45
14083303;Villarreal;69.0;2
14083303;Villarreal;70.0;5
14083303;Espanyol;71.0;-13
14083303;Espanyol;72.0;-9
14083303;Espanyol;73.0;-7
14083303;Villarreal;74.0;5
14083303;Villarreal;75.0;7
14083303;Espanyol;76.0;-13
14083303;Villarreal;77.0;19
14083303;Villarreal;78.0;1
14083303;Espanyol;79.0;-9
14083303;Espanyol;80.0;-27
14083303;Espanyol;81.0;-7
14083303;Espanyol;82.0;-46
14083303;Espanyol;83.0;-6
14083303;Villarreal;84.0;5
14083303;Espanyol;85.0;-24
14083303;Espanyol;86.0;-9
14083303;Villarreal;87.0;37
14083303;Villarreal;88.0;17
14083303;Espanyol;89.0;-45
14083303;Espanyol;90.0;-59
14083303;Espanyol;90.5;-17
14083315;Girona FC;1.0;-9
14083315;Girona FC;2.0;-11
14083315;Girona FC;3.0;-30
14083315;Girona FC;4.0;-19
14083315;Girona FC;5.0;-5
14083315;Girona FC;6.0;-25
14083315;Girona FC;7.0;-10
14083315;Sevilla;8.0;21
14083315;Girona FC;9.0;-12
14083315;Girona FC;10.0;-7
14083315;Girona FC;11.0;-19
14083315;Girona FC;12.0;-7
14083315;Girona FC;13.0;-8
14083315;Girona FC;14.0;-39
14083315;Girona FC;15.0;-28
14083315;Girona FC;16.0;-15
14083315;Girona FC;17.0;-2
14083315;Sevilla;18.0;43
14083315;Sevilla;19.0;16
14083315;Girona FC;20.0;-84
14083315;Girona FC;21.0;-48
14083315;Girona FC;22.0;-36
14083315;Girona FC;23.0;-41
14083315;Girona FC;24.0;-47
14083315;Girona FC;25.0;-31
14083315;Girona FC;26.0;-19
14083315;Girona FC;27.0;-5
14083315;Sevilla;28.0;9
14083315;Sevilla;29.0;6
14083315;Girona FC;30.0;-12
14083315;Sevilla;31.0;9
14083315;Girona FC;32.0;-75
14083315;Girona FC;33.0;-34
14083315;Girona FC;34.0;-19
14083315;Girona FC;35.0;-38
14083315;Girona FC;36.0;-4
14083315;Sevilla;37.0;25
14083315;Sevilla;38.0;17
14083315;Sevilla;39.0;16
14083315;Girona FC;40.0;-21
14083315;Girona FC;41.0;-21
14083315;Girona FC;42.0;-19
14083315;Girona FC;43.0;-7
14083315;Girona FC;44.0;-18
14083315;Girona FC;45.0;-14
14083315;Sevilla;45.5;21
14083315;Sevilla;46.0;6
14083315;Girona FC;47.0;-20
14083315;Girona FC;48.0;-6
14083315;Girona FC;49.0;-7
14083315;Girona FC;50.0;-11
14083315;Girona FC;51.0;-23
14083315;Girona FC;52.0;-6
14083315;Sevilla;53.0;7
14083315;Sevilla;54.0;56
14083315;Sevilla;55.0;38
14083315;Sevilla;56.0;20
14083315;Sevilla;57.0;15
14083315;Sevilla;58.0;7
14083315;Girona FC;59.0;-11
14083315;Girona FC;60.0;-65
14083315;Girona FC;61.0;-44
14083315;Girona FC;62.0;-71
14083315;Girona FC;63.0;-41
14083315;Sevilla;64.0;42
14083315;Sevilla;65.0;65
