league;season;id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
73;2526;1082968;Abderrahman Rebbach;;;;;;;;;;;;;;
73;2526;976104;Federico Viñas;;;;;;;;;;;;;;
73;2526;1466116;Jon Martin;;;;;;;;;;;;;;
73;2526;859021;Batista Mendy;;;;;;;;;;;;;;
73;2526;985329;Aimar Oroz;;;;;;;;;;;;;;
73;2526;981604;Alemão;;;;;;;;;;;;;;
73;2526;548848;Pau López;;;;;;;;;;;;;;
73;2526;1003007;Tanguy Nianzou;;;;;;;;;;;;;;
73;2526;1131581;Carlos Martín;;;;;;;;;;;;;;
73;2526;1170693;Mateo Joseph;;;;;;;;;;;;;;
73;2526;294593;Álex Moreno;;;;;;;;;;;;;;
73;2526;891505;Goduine Koyalipou;;;;;;;;;;;;;;
73;2526;94527;Marko Dmitrović;;;;;;;;;;;;;;
73;2526;845693;André Almeida;;;;;;;;;;;;;;
73;2526;305278;Diego Llorente;;;;;;;;;;;;;;
73;2526;84531;Yuri Berchiche;;;;;;;;;;;;;;
73;2526;345111;Álvaro García;;;;;;;;;;;;;;
73;2526;959872;Aitor Paredes;;;;;;;;;;;;;;
73;2526;1201412;Thiago Fernández;;;;;;;;;;;;;;
73;2526;1010655;Juanlu Sánchez;;;;;;;;;;;;;;
73;2526;1496360;Matias Moreno;;;;;;;;;;;;;;
73;2526;986245;Sergi Cardona;;;;;;;;;;;;;;
73;2526;988672;David Affengruber;;;;;;;;;;;;;;
73;2526;260031;Rubén García;;;;;;;;;;;;;;
73;2526;1014412;Julen Agirrezabala;;;;;;;;;;;;;;
73;2526;1396048;Carlos Romero;;;;;;;;;;;;;;
73;2526;885664;Luka Ilić;;;;;;;;;;;;;;
73;2526;286167;Aleix Febas;;;;;;;;;;;;;;
73;2526;843678;Santi Comesaña;;;;;;;;;;;;;;
73;2526;88528;Florian Lejeune;;;;;;;;;;;;;;
73;2526;1526628;Fer López;;;;;;;;;;;;;;
73;2526;840951;Marcão;;;;;;;;;;;;;;
73;2526;1515554;Adrian Liso;;;;;;;;;;;;;;
73;2526;1137814;Sergi Altimira;;;;;;;;;;;;;;
73;2526;1895964;Bekhoucha, Ismael;;;;;;;;;;;;;;
73;2526;850035;Luiz Felipe;;;;;;;;;;;;;;
73;2526;896073;Nahuel Tenaglia;;;;;;;;;;;;;;
73;2526;294377;Sergio Herrera;;;;;;;;;;;;;;
73;2526;914765;Gonzalo Villar;;;;;;;;;;;;;;
73;2526;22209;Ørjan Nyland;;;;;;;;;;;;;;
73;2526;368922;Aarón Escandell;;;;;;;;;;;;;;
73;2526;1392092;Sebastián Boselli;;;;;;;;;;;;;;
73;2526;1015240;José Ángel Carmona;;;;;;;;;;;;;;
73;2526;84972;Kike García;;;;;;;;;;;;;;
73;2526;910024;Sergio Camello;;;;;;;;;;;;;;
73;2526;110783;Sergi Darder;;;;;;;;;;;;;;
73;2526;877262;Edu Expósito;;;;;;;;;;;;;;
73;2526;873947;Dani Raba;;;;;;;;;;;;;;
73;2526;96365;Iñigo Ruiz de Galarreta;;;;;;;;;;;;;;
73;2526;964983;Álvaro Valles;;;;;;;;;;;;;;
73;2526;869931;Yvan Neyou;;;;;;;;;;;;;;
73;2526;944165;Robert Navarro;;;;;;;;;;;;;;
73;2526;900792;Alejandro Catena;;;;;;;;;;;;;;
73;2526;932764;Randy Nteka;;;;;;;;;;;;;;
73;2526;1097719;Kike Salas;;;;;;;;;;;;;;
73;2526;1542721;Buba Sangare;;;;;;;;;;;;;;
73;2526;973699;Iván Martín;;;;;;;;;;;;;;
73;2526;838159;Igor Zubeldia;;;;;;;;;;;;;;
73;2526;893062;Aitor Ruibal;;;;;;;;;;;;;;
73;2526;997280;Raúl García de Haro;;;;;;;;;;;;;;
73;2526;997033;Peque Fernández;;;;;;;;;;;;;;
73;2526;835484;Fran Beltrán;;;;;;;;;;;;;;
73;2526;218616;Portu;;;;;;;;;;;;;;
73;2526;1149152;Stanis Idumbo Muzambo;;;;;;;;;;;;;;
73;2526;796320;Joseph Aidoo;;;;;;;;;;;;;;
73;2526;900433;Luis Rioja;;;;;;;;;;;;;;
73;2526;175185;Pere Milla;;;;;;;;;;;;;;
73;2526;962710;Germán Valera;;;;;;;;;;;;;;
73;2526;1100646;Neto, Martim;;;;;;;;;;;;;;
73;2526;97951;Stole Dimitrievski;;;;;;;;;;;;;;
73;2526;996928;César Tárrega;;;;;;;;;;;;;;
73;2526;81992;Leandro Cabrera;;;;;;;;;;;;;;
73;2526;928672;Adrià Pedrosa;;;;;;;;;;;;;;
73;2526;985262;Diarra, Moussa;;;;;;;;;;;;;;
73;2526;1108450;Zaid Romero;;;;;;;;;;;;;;
73;2526;842419;Valentin Rosier;;;;;;;;;;;;;;
73;2526;1391375;Unai Gómez;;;;;;;;;;;;;;
73;2526;1018547;Thiago Borbas;;;;;;;;;;;;;;
73;2526;1860172;Lass Kourouma;;;;;;;;;;;;;;
73;2526;851282;Thierry Correia;;;;;;;;;;;;;;
73;2526;350560;Diego Rico;;;;;;;;;;;;;;
73;2526;807116;Antonio Raíllo;;;;;;;;;;;;;;
73;2526;980410;Beñat Turrientes;;;;;;;;;;;;;;
73;2526;1516812;Ali Houary;;;;;;;;;;;;;;
73;2526;128637;Allan Nyom;;;;;;;;;;;;;;
