id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
81992;Leandro Cabrera;;;;;;;;;;;;;;
928672;Adrià Pedrosa;;;;;;;;;;;;;;
985262;Diarra, Moussa;;;;;;;;;;;;;;
1108450;Zaid Romero;;;;;;;;;;;;;;
842419;Valentin Rosier;;;;;;;;;;;;;;
1391375;Unai Gómez;;;;;;;;;;;;;;
1018547;Thiago Borbas;;;;;;;;;;;;;;
1860172;Lass Kourouma;;;;;;;;;;;;;;
851282;Thierry Correia;;;;;;;;;;;;;;
350560;Diego Rico;;;;;;;;;;;;;;
807116;Antonio Raíllo;;;;;;;;;;;;;;
980410;Beñat Turrientes;;;;;;;;;;;;;;
1516812;Ali Houary;;;;;;;;;;;;;;
128637;Allan Nyom;;;;;;;;;;;;;;
360718;Carl Starfelt;;;;;;;;;;;;;;
1111081;Job Ochieng;;;;;;;;;;;;;;
892521;Unai Núñez;;;;;;;;;;;;;;
300522;Martin Valjent;;;;;;;;;;;;;;
591750;Joan Jordán;;;;;;;;;;;;;;
1398524;Pablo Durán;;;;;;;;;;;;;;
976141;Jon Moncayola;;;;;;;;;;;;;;
187313;Lucas Torró;;;;;;;;;;;;;;
1184541;Alexander Freeman;;;;;;;;;;;;;;
1063015;Tyrhys Dolan;;;;;;;;;;;;;;
1154935;Hugo Álvarez;;;;;;;;;;;;;;
576276;Domingos Duarte;;;;;;;;;;;;;;
152446;Iván Balliu;;;;;;;;;;;;;;
1482463;Juan Arango;;;;;;;;;;;;;;
857482;Filip Ugrinić;;;;;;;;;;;;;;
604258;David Soria;;;;;;;;;;;;;;
941464;Federico Gattoni;;;;;;;;;;;;;;
984789;Manuel Sánchez;;;;;;;;;;;;;;
542634;Alfonso Espino;;;;;;;;;;;;;;
910267;Jesús Areso;;;;;;;;;;;;;;
1391616;Joel Roca;;;;;;;;;;;;;;
1216309;Jon Gorrotxategi;;;;;;;;;;;;;;
1046796;Calebe Gonçalves;;;;;;;;;;;;;;
556884;Matías Dituro;;;;;;;;;;;;;;
96369;Juanmi;;;;;;;;;;;;;;
1010421;Josep Chavarría;;;;;;;;;;;;;;
1120669;Hugo Sotelo;;;;;;;;;;;;;;
149370;Moi Gómez;;;;;;;;;;;;;;
822379;Santiago Colombatto;;;;;;;;;;;;;;
855831;Víctor Chust;;;;;;;;;;;;;;
1468090;Alfon González;;;;;;;;;;;;;;
1521733;Vladyslav Krapyvtsov;;;;;;;;;;;;;;
1012409;Beñat Prados;;;;;;;;;;;;;;
1526627;Javi Rodríguez;;;;;;;;;;;;;;
797290;Alfonso Pedraza;;;;;;;;;;;;;;
1010891;Mourad El Ghezouani;;;;;;;;;;;;;;
879543;Mateu Morey;;;;;;;;;;;;;;
363774;Mihailo Ristić;;;;;;;;;;;;;;
1160250;Tai Abed;;;;;;;;;;;;;;
944629;Nicolas Fonseca;;;;;;;;;;;;;;
1002347;Alejandro Francés;;;;;;;;;;;;;;
235648;Jonny Otto;;;;;;;;;;;;;;
900669;Pedro Díaz;;;;;;;;;;;;;;
369004;Antonio Sivera;;;;;;;;;;;;;;
934383;Jon Pacheco;;;;;;;;;;;;;;
255999;Omar Mascarell;;;;;;;;;;;;;;
21949;Óscar Trejo;;;;;;;;;;;;;;
135116;David López;;;;;;;;;;;;;;
2110897;Alejandro Rego;;;;;;;;;;;;;;
949707;Juan Iglesias;;;;;;;;;;;;;;
866810;Andoni Gorosabel;;;;;;;;;;;;;;
826010;Pol Lozano;;;;;;;;;;;;;;
1088565;Ramón Terrats;;;;;;;;;;;;;;
1151851;Dawda Camara;;;;;;;;;;;;;;
814023;Eray Cömert;;;;;;;;;;;;;;
359742;Mikel Vesga;;;;;;;;;;;;;;
349526;Dani Rodríguez;;;;;;;;;;;;;;
588566;Unai López;;;;;;;;;;;;;;
252815;Fábio Cardoso;;;;;;;;;;;;;;
1012410;Alvaro Núñez;;;;;;;;;;;;;;
1139409;Pablo Marín;;;;;;;;;;;;;;
966637;Fran Pérez;;;;;;;;;;;;;;
1152139;Angel Ortiz;;;;;;;;;;;;;;
1002764;Sergio Carreira;;;;;;;;;;;;;;
1019318;Nico Serrano;;;;;;;;;;;;;;
344751;Baptiste Santamaria;;;;;;;;;;;;;;
1087476;Kamara, Abu;;;;;;;;;;;;;;
